Environment,Partial Obs,Num Envs,Num Steps,FPS,Seed
Acrobot-v1,False,2,32,83965,0
Acrobot-v1,False,4,32,173017,0
Acrobot-v1,False,8,32,325771,0
Acrobot-v1,False,16,32,686755,0
Acrobot-v1,False,32,32,649081,0
Acrobot-v1,False,64,32,2589670,0
Acrobot-v1,False,128,32,5195001,0
Acrobot-v1,False,256,32,10315142,0
Acrobot-v1,False,512,32,20824084,0
Acrobot-v1,False,2,32,90718,1
Acrobot-v1,False,4,32,189372,1
Acrobot-v1,False,8,32,384992,1
Acrobot-v1,False,16,32,686097,1
Acrobot-v1,False,32,32,672771,1
Acrobot-v1,False,64,32,2951868,1
Acrobot-v1,False,128,32,6628036,1
Acrobot-v1,False,256,32,14430801,1
Acrobot-v1,False,512,32,22530976,1
Acrobot-v1,False,2,32,68689,2
Acrobot-v1,False,4,32,167982,2
Acrobot-v1,False,8,32,381571,2
Acrobot-v1,False,16,32,735944,2
Acrobot-v1,False,32,32,671929,2
Acrobot-v1,False,64,32,2626891,2
Acrobot-v1,False,128,32,5698132,2
Acrobot-v1,False,256,32,10863022,2
Acrobot-v1,False,512,32,20556230,2
Acrobot-v1,False,2,32,117323,3
Acrobot-v1,False,4,32,205855,3
Acrobot-v1,False,8,32,347040,3
Acrobot-v1,False,16,32,716784,3
Acrobot-v1,False,32,32,701677,3
Acrobot-v1,False,64,32,2691926,3
Acrobot-v1,False,128,32,5857439,3
Acrobot-v1,False,256,32,10791375,3
Acrobot-v1,False,512,32,23263195,3
Acrobot-v1,False,2,32,88886,4
Acrobot-v1,False,4,32,181314,4
Acrobot-v1,False,8,32,337019,4
Acrobot-v1,False,16,32,652731,4
Acrobot-v1,False,32,32,717382,4
Acrobot-v1,False,64,32,2941758,4
Acrobot-v1,False,128,32,6199881,4
Acrobot-v1,False,256,32,12985540,4
Acrobot-v1,False,512,32,17201371,4
Acrobot-v1,False,2,32,93142,5
Acrobot-v1,False,4,32,194589,5
Acrobot-v1,False,8,32,348617,5
Acrobot-v1,False,16,32,644310,5
Acrobot-v1,False,32,32,696331,5
Acrobot-v1,False,64,32,2915796,5
Acrobot-v1,False,128,32,5887549,5
Acrobot-v1,False,256,32,11044596,5
Acrobot-v1,False,512,32,21118462,5
Acrobot-v1,False,2,32,98653,6
Acrobot-v1,False,4,32,173073,6
Acrobot-v1,False,8,32,392163,6
Acrobot-v1,False,16,32,541473,6
Acrobot-v1,False,32,32,738094,6
Acrobot-v1,False,64,32,2760262,6
Acrobot-v1,False,128,32,5936375,6
Acrobot-v1,False,256,32,11690962,6
Acrobot-v1,False,512,32,23397847,6
Acrobot-v1,False,2,32,86648,7
Acrobot-v1,False,4,32,191466,7
Acrobot-v1,False,8,32,228310,7
Acrobot-v1,False,16,32,704093,7
Acrobot-v1,False,32,32,643730,7
Acrobot-v1,False,64,32,2618882,7
Acrobot-v1,False,128,32,5091840,7
Acrobot-v1,False,256,32,10787987,7
Acrobot-v1,False,512,32,20205668,7
Acrobot-v1,False,2,32,94420,8
Acrobot-v1,False,4,32,180765,8
Acrobot-v1,False,8,32,409045,8
Acrobot-v1,False,16,32,665062,8
Acrobot-v1,False,32,32,706642,8
Acrobot-v1,False,64,32,2882528,8
Acrobot-v1,False,128,32,5016020,8
Acrobot-v1,False,256,32,8652666,8
Acrobot-v1,False,512,32,18136573,8
Acrobot-v1,False,2,32,87552,9
Acrobot-v1,False,4,32,170598,9
Acrobot-v1,False,8,32,357675,9
Acrobot-v1,False,16,32,689180,9
Acrobot-v1,False,32,32,707923,9
Acrobot-v1,False,64,32,2664372,9
Acrobot-v1,False,128,32,4521018,9
Acrobot-v1,False,256,32,13511498,9
Acrobot-v1,False,512,32,21948092,9
Pendulum-v1,False,2,32,264991,0
Pendulum-v1,False,4,32,1709780,0
Pendulum-v1,False,8,32,817777,0
Pendulum-v1,False,16,32,1959383,0
Pendulum-v1,False,32,32,11392486,0
Pendulum-v1,False,64,32,5556232,0
Pendulum-v1,False,128,32,15366609,0
Pendulum-v1,False,256,32,126788702,0
Pendulum-v1,False,512,32,62814878,0
Pendulum-v1,False,2,32,321480,1
Pendulum-v1,False,4,32,482798,1
Pendulum-v1,False,8,32,3821145,1
Pendulum-v1,False,16,32,1744503,1
Pendulum-v1,False,32,32,12341860,1
Pendulum-v1,False,64,32,7456540,1
Pendulum-v1,False,128,32,64344079,1
Pendulum-v1,False,256,32,30193092,1
Pendulum-v1,False,512,32,216098983,1
Pendulum-v1,False,2,32,247634,2
Pendulum-v1,False,4,32,471767,2
Pendulum-v1,False,8,32,3567249,2
Pendulum-v1,False,16,32,4858560,2
Pendulum-v1,False,32,32,10058471,2
Pendulum-v1,False,64,32,5193431,2
Pendulum-v1,False,128,32,16192148,2
Pendulum-v1,False,256,32,42055983,2
Pendulum-v1,False,512,32,49545405,2
Pendulum-v1,False,2,32,238822,3
Pendulum-v1,False,4,32,1931190,3
Pendulum-v1,False,8,32,798915,3
Pendulum-v1,False,16,32,1829202,3
Pendulum-v1,False,32,32,3463683,3
Pendulum-v1,False,64,32,5973529,3
Pendulum-v1,False,128,32,16424349,3
Pendulum-v1,False,256,32,31814573,3
Pendulum-v1,False,512,32,106707262,3
Pendulum-v1,False,2,32,200624,4
Pendulum-v1,False,4,32,1910573,4
Pendulum-v1,False,8,32,1285918,4
Pendulum-v1,False,16,32,1751618,4
Pendulum-v1,False,32,32,8275467,4
Pendulum-v1,False,64,32,6019576,4
Pendulum-v1,False,128,32,15463429,4
Pendulum-v1,False,256,32,32943182,4
Pendulum-v1,False,512,32,59240928,4
Pendulum-v1,False,2,32,203669,5
Pendulum-v1,False,4,32,511793,5
Pendulum-v1,False,8,32,968207,5
Pendulum-v1,False,16,32,2010752,5
Pendulum-v1,False,32,32,3183816,5
Pendulum-v1,False,64,32,6978013,5
Pendulum-v1,False,128,32,15136449,5
Pendulum-v1,False,256,32,32202192,5
Pendulum-v1,False,512,32,98030637,5
Pendulum-v1,False,2,32,250173,6
Pendulum-v1,False,4,32,413933,6
Pendulum-v1,False,8,32,985084,6
Pendulum-v1,False,16,32,1955814,6
Pendulum-v1,False,32,32,2559575,6
Pendulum-v1,False,64,32,7285780,6
Pendulum-v1,False,128,32,15966421,6
Pendulum-v1,False,256,32,31932842,6
Pendulum-v1,False,512,32,57602244,6
Pendulum-v1,False,2,32,208575,7
Pendulum-v1,False,4,32,422068,7
Pendulum-v1,False,8,32,1022611,7
Pendulum-v1,False,16,32,1709780,7
Pendulum-v1,False,32,32,10710642,7
Pendulum-v1,False,64,32,7561562,7
Pendulum-v1,False,128,32,58236845,7
Pendulum-v1,False,256,32,27291293,7
Pendulum-v1,False,512,32,60759926,7
Pendulum-v1,False,2,32,251344,8
Pendulum-v1,False,4,32,466034,8
Pendulum-v1,False,8,32,1322342,8
Pendulum-v1,False,16,32,1934670,8
Pendulum-v1,False,32,32,3546629,8
Pendulum-v1,False,64,32,4976787,8
Pendulum-v1,False,128,32,14424743,8
Pendulum-v1,False,256,32,35132657,8
Pendulum-v1,False,512,32,47888137,8
Pendulum-v1,False,2,32,897777,9
Pendulum-v1,False,4,32,1832324,9
Pendulum-v1,False,8,32,3253763,9
Pendulum-v1,False,16,32,1929455,9
Pendulum-v1,False,32,32,2902005,9
Pendulum-v1,False,64,32,7508684,9
Pendulum-v1,False,128,32,54366675,9
Pendulum-v1,False,256,32,31236126,9
Pendulum-v1,False,512,32,64707605,9
SpaceInvaders-MinAtar,False,2,32,49345,0
SpaceInvaders-MinAtar,False,4,32,79560,0
SpaceInvaders-MinAtar,False,8,32,176457,0
SpaceInvaders-MinAtar,False,16,32,466641,0
SpaceInvaders-MinAtar,False,32,32,826114,0
SpaceInvaders-MinAtar,False,64,32,1243116,0
SpaceInvaders-MinAtar,False,128,32,2377837,0
SpaceInvaders-MinAtar,False,256,32,4665273,0
SpaceInvaders-MinAtar,False,512,32,9225329,0
SpaceInvaders-MinAtar,False,2,32,47807,1
SpaceInvaders-MinAtar,False,4,32,85530,1
SpaceInvaders-MinAtar,False,8,32,188178,1
SpaceInvaders-MinAtar,False,16,32,459257,1
SpaceInvaders-MinAtar,False,32,32,724278,1
SpaceInvaders-MinAtar,False,64,32,1315457,1
SpaceInvaders-MinAtar,False,128,32,2503624,1
SpaceInvaders-MinAtar,False,256,32,4721041,1
SpaceInvaders-MinAtar,False,512,32,9138228,1
SpaceInvaders-MinAtar,False,2,32,52655,2
SpaceInvaders-MinAtar,False,4,32,92660,2
SpaceInvaders-MinAtar,False,8,32,139901,2
SpaceInvaders-MinAtar,False,16,32,459945,2
SpaceInvaders-MinAtar,False,32,32,762059,2
SpaceInvaders-MinAtar,False,64,32,1422646,2
SpaceInvaders-MinAtar,False,128,32,2510576,2
SpaceInvaders-MinAtar,False,256,32,4465203,2
SpaceInvaders-MinAtar,False,512,32,8294445,2
SpaceInvaders-MinAtar,False,2,32,53516,3
SpaceInvaders-MinAtar,False,4,32,97507,3
SpaceInvaders-MinAtar,False,8,32,188244,3
SpaceInvaders-MinAtar,False,16,32,494926,3
SpaceInvaders-MinAtar,False,32,32,672876,3
SpaceInvaders-MinAtar,False,64,32,1318081,3
SpaceInvaders-MinAtar,False,128,32,2470857,3
SpaceInvaders-MinAtar,False,256,32,4943136,3
SpaceInvaders-MinAtar,False,512,32,8495423,3
SpaceInvaders-MinAtar,False,2,32,48332,4
SpaceInvaders-MinAtar,False,4,32,93272,4
SpaceInvaders-MinAtar,False,8,32,177127,4
SpaceInvaders-MinAtar,False,16,32,491865,4
SpaceInvaders-MinAtar,False,32,32,781187,4
SpaceInvaders-MinAtar,False,64,32,1387936,4
SpaceInvaders-MinAtar,False,128,32,2556909,4
SpaceInvaders-MinAtar,False,256,32,4672887,4
SpaceInvaders-MinAtar,False,512,32,8868174,4
SpaceInvaders-MinAtar,False,2,32,55154,5
SpaceInvaders-MinAtar,False,4,32,84268,5
SpaceInvaders-MinAtar,False,8,32,187520,5
SpaceInvaders-MinAtar,False,16,32,453822,5
SpaceInvaders-MinAtar,False,32,32,671823,5
SpaceInvaders-MinAtar,False,64,32,1359167,5
SpaceInvaders-MinAtar,False,128,32,2237253,5
SpaceInvaders-MinAtar,False,256,32,4466364,5
SpaceInvaders-MinAtar,False,512,32,9193241,5
SpaceInvaders-MinAtar,False,2,32,53655,6
SpaceInvaders-MinAtar,False,4,32,84707,6
SpaceInvaders-MinAtar,False,8,32,194272,6
SpaceInvaders-MinAtar,False,16,32,452960,6
SpaceInvaders-MinAtar,False,32,32,749166,6
SpaceInvaders-MinAtar,False,64,32,1542179,6
SpaceInvaders-MinAtar,False,128,32,2329158,6
SpaceInvaders-MinAtar,False,256,32,4147723,6
SpaceInvaders-MinAtar,False,512,32,9423955,6
SpaceInvaders-MinAtar,False,2,32,48744,7
SpaceInvaders-MinAtar,False,4,32,93564,7
SpaceInvaders-MinAtar,False,8,32,189741,7
SpaceInvaders-MinAtar,False,16,32,401024,7
SpaceInvaders-MinAtar,False,32,32,732680,7
SpaceInvaders-MinAtar,False,64,32,1511780,7
SpaceInvaders-MinAtar,False,128,32,2446926,7
SpaceInvaders-MinAtar,False,256,32,4638194,7
SpaceInvaders-MinAtar,False,512,32,9257642,7
SpaceInvaders-MinAtar,False,2,32,46790,8
SpaceInvaders-MinAtar,False,4,32,76098,8
SpaceInvaders-MinAtar,False,8,32,194765,8
SpaceInvaders-MinAtar,False,16,32,406643,8
SpaceInvaders-MinAtar,False,32,32,737713,8
SpaceInvaders-MinAtar,False,64,32,1370661,8
SpaceInvaders-MinAtar,False,128,32,2121757,8
SpaceInvaders-MinAtar,False,256,32,4652639,8
SpaceInvaders-MinAtar,False,512,32,10068788,8
SpaceInvaders-MinAtar,False,2,32,49802,9
SpaceInvaders-MinAtar,False,4,32,86425,9
SpaceInvaders-MinAtar,False,8,32,182578,9
SpaceInvaders-MinAtar,False,16,32,458276,9
SpaceInvaders-MinAtar,False,32,32,770121,9
SpaceInvaders-MinAtar,False,64,32,1446117,9
SpaceInvaders-MinAtar,False,128,32,2376192,9
SpaceInvaders-MinAtar,False,256,32,4652009,9
SpaceInvaders-MinAtar,False,512,32,9345774,9
Breakout-MinAtar,False,2,32,117067,0
Breakout-MinAtar,False,4,32,306608,0
Breakout-MinAtar,False,8,32,633102,0
Breakout-MinAtar,False,16,32,1187768,0
Breakout-MinAtar,False,32,32,2254576,0
Breakout-MinAtar,False,64,32,4180017,0
Breakout-MinAtar,False,128,32,6777069,0
Breakout-MinAtar,False,256,32,21157474,0
Breakout-MinAtar,False,512,32,23671883,0
Breakout-MinAtar,False,2,32,145179,1
Breakout-MinAtar,False,4,32,309793,1
Breakout-MinAtar,False,8,32,606291,1
Breakout-MinAtar,False,16,32,1229945,1
Breakout-MinAtar,False,32,32,2262891,1
Breakout-MinAtar,False,64,32,3506096,1
Breakout-MinAtar,False,128,32,7710893,1
Breakout-MinAtar,False,256,32,15129784,1
Breakout-MinAtar,False,512,32,29106089,1
Breakout-MinAtar,False,2,32,122183,2
Breakout-MinAtar,False,4,32,284661,2
Breakout-MinAtar,False,8,32,578525,2
Breakout-MinAtar,False,16,32,1293665,2
Breakout-MinAtar,False,32,32,2123068,2
Breakout-MinAtar,False,64,32,3691420,2
Breakout-MinAtar,False,128,32,6869200,2
Breakout-MinAtar,False,256,32,18393864,2
Breakout-MinAtar,False,512,32,28060219,2
Breakout-MinAtar,False,2,32,161029,3
Breakout-MinAtar,False,4,32,235884,3
Breakout-MinAtar,False,8,32,575424,3
Breakout-MinAtar,False,16,32,943534,3
Breakout-MinAtar,False,32,32,2366373,3
Breakout-MinAtar,False,64,32,4367023,3
Breakout-MinAtar,False,128,32,6850028,3
Breakout-MinAtar,False,256,32,18562798,3
Breakout-MinAtar,False,512,32,34120892,3
Breakout-MinAtar,False,2,32,123023,4
Breakout-MinAtar,False,4,32,287866,4
Breakout-MinAtar,False,8,32,637236,4
Breakout-MinAtar,False,16,32,416018,4
Breakout-MinAtar,False,32,32,1908874,4
Breakout-MinAtar,False,64,32,4314382,4
Breakout-MinAtar,False,128,32,6958230,4
Breakout-MinAtar,False,256,32,15216890,4
Breakout-MinAtar,False,512,32,25162752,4
Breakout-MinAtar,False,2,32,113455,5
Breakout-MinAtar,False,4,32,215611,5
Breakout-MinAtar,False,8,32,501514,5
Breakout-MinAtar,False,16,32,1173488,5
Breakout-MinAtar,False,32,32,2494174,5
Breakout-MinAtar,False,64,32,4774839,5
Breakout-MinAtar,False,128,32,6589900,5
Breakout-MinAtar,False,256,32,18694091,5
Breakout-MinAtar,False,512,32,28752919,5
Breakout-MinAtar,False,2,32,151658,6
Breakout-MinAtar,False,4,32,299928,6
Breakout-MinAtar,False,8,32,628654,6
Breakout-MinAtar,False,16,32,998830,6
Breakout-MinAtar,False,32,32,1933799,6
Breakout-MinAtar,False,64,32,4793490,6
Breakout-MinAtar,False,128,32,7291965,6
Breakout-MinAtar,False,256,32,16040961,6
Breakout-MinAtar,False,512,32,29493338,6
Breakout-MinAtar,False,2,32,121739,7
Breakout-MinAtar,False,4,32,290829,7
Breakout-MinAtar,False,8,32,588352,7
Breakout-MinAtar,False,16,32,1323157,7
Breakout-MinAtar,False,32,32,2016417,7
Breakout-MinAtar,False,64,32,4046130,7
Breakout-MinAtar,False,128,32,8624432,7
Breakout-MinAtar,False,256,32,18046081,7
Breakout-MinAtar,False,512,32,26532617,7
Breakout-MinAtar,False,2,32,109790,8
Breakout-MinAtar,False,4,32,339577,8
Breakout-MinAtar,False,8,32,532082,8
Breakout-MinAtar,False,16,32,1216705,8
Breakout-MinAtar,False,32,32,2587330,8
Breakout-MinAtar,False,64,32,3293687,8
Breakout-MinAtar,False,128,32,8243699,8
Breakout-MinAtar,False,256,32,19826739,8
Breakout-MinAtar,False,512,32,33785387,8
Breakout-MinAtar,False,2,32,152694,9
Breakout-MinAtar,False,4,32,333875,9
Breakout-MinAtar,False,8,32,555479,9
Breakout-MinAtar,False,16,32,1244918,9
Breakout-MinAtar,False,32,32,1968363,9
Breakout-MinAtar,False,64,32,4071059,9
Breakout-MinAtar,False,128,32,5825659,9
Breakout-MinAtar,False,256,32,16138910,9
Breakout-MinAtar,False,512,32,31080722,9
CartPole-v1,False,2,32,733430,0
CartPole-v1,False,4,32,1431656,0
CartPole-v1,False,8,32,2957966,0
CartPole-v1,False,16,32,4036623,0
CartPole-v1,False,32,32,10845877,0
CartPole-v1,False,64,32,8157583,0
CartPole-v1,False,128,32,42419430,0
CartPole-v1,False,256,32,108049492,0
CartPole-v1,False,512,32,213414524,0
CartPole-v1,False,2,32,624269,1
CartPole-v1,False,4,32,1245640,1
CartPole-v1,False,8,32,3059094,1
CartPole-v1,False,16,32,4464623,1
CartPole-v1,False,32,32,13463847,1
CartPole-v1,False,64,32,11392486,1
CartPole-v1,False,128,32,45210182,1
CartPole-v1,False,256,32,108049492,1
CartPole-v1,False,512,32,187246531,1
CartPole-v1,False,2,32,773589,2
CartPole-v1,False,4,32,1416546,2
CartPole-v1,False,8,32,2462711,2
CartPole-v1,False,16,32,5478275,2
CartPole-v1,False,32,32,8323580,2
CartPole-v1,False,64,32,20069941,2
CartPole-v1,False,128,32,24683720,2
CartPole-v1,False,256,32,37551627,2
CartPole-v1,False,512,32,189832809,2
CartPole-v1,False,2,32,713924,3
CartPole-v1,False,4,32,1177348,3
CartPole-v1,False,8,32,2774527,3
CartPole-v1,False,16,32,5835553,3
CartPole-v1,False,32,32,11098107,3
CartPole-v1,False,64,32,20648881,3
CartPole-v1,False,128,32,24507659,3
CartPole-v1,False,256,32,88101893,3
CartPole-v1,False,512,32,147150914,3
CartPole-v1,False,2,32,747731,4
CartPole-v1,False,4,32,1118481,4
CartPole-v1,False,8,32,2774527,4
CartPole-v1,False,16,32,6170930,4
CartPole-v1,False,32,32,10737418,4
CartPole-v1,False,64,32,22784972,4
CartPole-v1,False,128,32,34497729,4
CartPole-v1,False,256,32,69554126,4
CartPole-v1,False,512,32,183741916,4
CartPole-v1,False,2,32,729444,5
CartPole-v1,False,4,32,343487,5
CartPole-v1,False,8,32,2966138,5
CartPole-v1,False,16,32,5492286,5
CartPole-v1,False,32,32,10526881,5
CartPole-v1,False,64,32,20069941,5
CartPole-v1,False,128,32,21913098,5
CartPole-v1,False,256,32,75021263,5
CartPole-v1,False,512,32,185728316,5
CartPole-v1,False,2,32,798915,6
CartPole-v1,False,4,32,1405421,6
CartPole-v1,False,8,32,2329158,6
CartPole-v1,False,16,32,5883517,6
CartPole-v1,False,32,32,12132676,6
CartPole-v1,False,64,32,20550083,6
CartPole-v1,False,128,32,22340532,6
CartPole-v1,False,256,32,30353126,6
CartPole-v1,False,512,32,55960486,6
CartPole-v1,False,2,32,178719,7
CartPole-v1,False,4,32,1607398,7
CartPole-v1,False,8,32,2664372,7
CartPole-v1,False,16,32,5005789,7
CartPole-v1,False,32,32,3162715,7
CartPole-v1,False,64,32,24754855,7
CartPole-v1,False,128,32,44856055,7
CartPole-v1,False,256,32,79352744,7
CartPole-v1,False,512,32,165989074,7
CartPole-v1,False,2,32,350896,8
CartPole-v1,False,4,32,1248537,8
CartPole-v1,False,8,32,1198373,8
CartPole-v1,False,16,32,5450466,8
CartPole-v1,False,32,32,5395688,8
CartPole-v1,False,64,32,27889398,8
CartPole-v1,False,128,32,46939533,8
CartPole-v1,False,256,32,79906368,8
CartPole-v1,False,512,32,210151305,8
CartPole-v1,False,2,32,672771,9
CartPole-v1,False,4,32,1503840,9
CartPole-v1,False,8,32,3016129,9
CartPole-v1,False,16,32,5302429,9
CartPole-v1,False,32,32,11799361,9
CartPole-v1,False,64,32,19656601,9
CartPole-v1,False,128,32,38780743,9
CartPole-v1,False,256,32,84009140,9
CartPole-v1,False,512,32,202116108,9
MountainCar-v0,False,2,32,173296,0
MountainCar-v0,False,4,32,1715243,0
MountainCar-v0,False,8,32,1607398,0
MountainCar-v0,False,16,32,6753093,0
MountainCar-v0,False,32,32,4965280,0
MountainCar-v0,False,64,32,11592354,0
MountainCar-v0,False,128,32,37266528,0
MountainCar-v0,False,256,32,42055983,0
MountainCar-v0,False,512,32,98734880,0
MountainCar-v0,False,2,32,300263,1
MountainCar-v0,False,4,32,567517,1
MountainCar-v0,False,8,32,1508064,1
MountainCar-v0,False,16,32,2352118,1
MountainCar-v0,False,32,32,13506186,1
MountainCar-v0,False,64,32,6415186,1
MountainCar-v0,False,128,32,11848186,1
MountainCar-v0,False,256,32,23960766,1
MountainCar-v0,False,512,32,86439593,1
MountainCar-v0,False,2,32,351816,2
MountainCar-v0,False,4,32,746691,2
MountainCar-v0,False,8,32,929647,2
MountainCar-v0,False,16,32,7379669,2
MountainCar-v0,False,32,32,5368709,2
MountainCar-v0,False,64,32,24472748,2
MountainCar-v0,False,128,32,59037351,2
MountainCar-v0,False,256,32,28585473,2
MountainCar-v0,False,512,32,82994537,2
MountainCar-v0,False,2,32,261378,3
MountainCar-v0,False,4,32,388474,3
MountainCar-v0,False,8,32,1320716,3
MountainCar-v0,False,16,32,2628499,3
MountainCar-v0,False,32,32,3494685,3
MountainCar-v0,False,64,32,27183337,3
MountainCar-v0,False,128,32,19088744,3
MountainCar-v0,False,256,32,35060958,3
MountainCar-v0,False,512,32,221675731,3
MountainCar-v0,False,2,32,301952,4
MountainCar-v0,False,4,32,423066,4
MountainCar-v0,False,8,32,2739137,4
MountainCar-v0,False,16,32,1733239,4
MountainCar-v0,False,32,32,14708792,4
MountainCar-v0,False,64,32,23860929,4
MountainCar-v0,False,128,32,25301722,4
MountainCar-v0,False,256,32,29442792,4
MountainCar-v0,False,512,32,150370846,4
MountainCar-v0,False,2,32,308192,5
MountainCar-v0,False,4,32,703632,5
MountainCar-v0,False,8,32,1328888,5
MountainCar-v0,False,16,32,2556528,5
MountainCar-v0,False,32,32,3751063,5
MountainCar-v0,False,64,32,9326748,5
MountainCar-v0,False,128,32,57844677,5
MountainCar-v0,False,256,32,50529027,5
MountainCar-v0,False,512,32,87652394,5
MountainCar-v0,False,2,32,190380,6
MountainCar-v0,False,4,32,673615,6
MountainCar-v0,False,8,32,1108093,6
MountainCar-v0,False,16,32,2184622,6
MountainCar-v0,False,32,32,5607007,6
MountainCar-v0,False,64,32,7508684,6
MountainCar-v0,False,128,32,48122883,6
MountainCar-v0,False,256,32,96516119,6
MountainCar-v0,False,512,32,206364795,6
MountainCar-v0,False,2,32,299259,7
MountainCar-v0,False,4,32,434010,7
MountainCar-v0,False,8,32,779203,7
MountainCar-v0,False,16,32,2301697,7
MountainCar-v0,False,32,32,13944699,7
MountainCar-v0,False,64,32,9080269,7
MountainCar-v0,False,128,32,21053761,7
MountainCar-v0,False,256,32,40518559,7
MountainCar-v0,False,512,32,50903316,7
MountainCar-v0,False,2,32,863137,8
MountainCar-v0,False,4,32,1451002,8
MountainCar-v0,False,8,32,3555437,8
MountainCar-v0,False,16,32,1988411,8
MountainCar-v0,False,32,32,6344117,8
MountainCar-v0,False,64,32,11545611,8
MountainCar-v0,False,128,32,49509709,8
MountainCar-v0,False,256,32,50160202,8
MountainCar-v0,False,512,32,74613981,8
MountainCar-v0,False,2,32,467658,9
MountainCar-v0,False,4,32,525314,9
MountainCar-v0,False,8,32,3430485,9
MountainCar-v0,False,16,32,2657777,9
MountainCar-v0,False,32,32,16086020,9
MountainCar-v0,False,64,32,6731924,9
MountainCar-v0,False,128,32,22605091,9
MountainCar-v0,False,256,32,34601952,9
MountainCar-v0,False,512,32,74939451,9
